Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,Result,HomeTeamCode,AwayTeamCode,time,hour,RefereeCode,HomeTeam_Form_Score,AwayTeam_Form_Score,HomeTeam_Overall_Rating,AwayTeam_Overall_Rating,B365_result,H2H_HomeForm,H2H_AwayForm
E0,2022-12-03,12:30:00,Brighton,Liverpool,M Dean,6.0,4.33,1.5,2,4,13,12:30:00,12,20,-1,1,0.46,0.711,2,0.5,0.5
E0,2022-12-03,15:00:00,Brentford,Burnley,P Tierney,2.15,3.2,3.6,1,3,5,15:00:00,15,26,-2,-1,0.415,0.214,1,0.0,0.0
E0,2022-12-03,17:30:00,Man United,Tottenham,J Moss,2.2,3.4,3.25,1,16,23,17:30:00,17,14,1,1,0.496,0.506,1,0.0,1.0
E0,2022-03-13,14:00:00,Chelsea,Newcastle,D Coote,1.3,5.25,11.0,1,6,17,14:00:00,14,7,2,2,0.525,0.507,1,0.0,1.0
E0,2022-03-13,14:00:00,Everton,Wolves,M Oliver,2.3,3.2,3.3,2,8,26,14:00:00,14,22,-1,1,0.344,0.362,1,0.0,0.0
E0,2022-03-13,14:00:00,Leeds,Norwich,S Attwell,1.55,4.2,5.75,1,11,18,14:00:00,14,31,-3,-3,0.276,0.166,1,0.0,1.0
E0,2022-03-13,14:00:00,Southampton,Watford,G Scott,1.6,4.2,5.25,2,21,24,14:00:00,14,10,2,-1,0.197,0.194,1,0.0,1.0
E0,2022-03-13,14:00:00,West Ham,Aston Villa,J Gillett,2.25,3.3,3.3,1,25,1,14:00:00,14,12,2,1,0.39,0.503,1,0.0,1.0
E0,2022-03-13,16:30:00,Arsenal,Leicester,A Taylor,1.5,4.5,6.0,1,0,12,16:30:00,16,3,2,-3,0.684,0.299,1,0.0,1.0
E0,2022-03-14,20:00:00,Crystal Palace,Man City,M Atkinson,10.0,5.0,1.33,0,7,15,20:00:00,20,19,-2,4,0.397,0.74,2,0.0,1.0
E0,2022-03-16,19:30:00,Brighton,Tottenham,R Jones,3.3,3.3,2.25,2,4,23,19:30:00,19,27,-3,-1,0.46,0.506,2,0.0,0.0
E0,2022-03-16,20:15:00,Arsenal,Liverpool,A Marriner,3.5,4.0,1.9,2,0,13,20:15:00,20,2,2,2,0.684,0.711,2,0.0,0.0
E0,2022-03-17,19:45:00,Everton,Newcastle,C Pawson,2.4,3.25,3.1,1,8,17,19:45:00,19,5,-3,2,0.344,0.507,1,0.0,0.0
E0,2022-03-18,20:00:00,Wolves,Leeds,K Friend,2.1,3.5,3.4,2,26,11,20:00:00,20,16,1,-2,0.362,0.276,1,0.5,0.5
E0,2022-03-19,12:30:00,Aston Villa,Arsenal,A Madley,3.0,3.3,2.4,2,1,0,12:30:00,12,1,-1,3,0.503,0.684,2,0.0,0.0
E0,2022-03-20,14:00:00,Leicester,Brentford,D England,2.15,3.4,3.4,1,12,3,14:00:00,14,8,1,-3,0.299,0.415,1,0.0,1.0
E0,2022-03-20,16:30:00,Tottenham,West Ham,A Taylor,1.72,3.8,4.75,1,23,25,16:30:00,16,3,0,0,0.506,0.39,1,0.0,0.0
E0,2022-02-04,12:30:00,Liverpool,Watford,S Attwell,1.12,9.5,17.0,1,13,24,12:30:00,12,31,5,0,0.711,0.194,1,0.0,1.0
E0,2022-02-04,15:00:00,Brighton,Norwich,S Hooper,1.5,4.0,7.0,0,4,18,15:00:00,15,33,-4,-3,0.46,0.166,1,0.5,0.5
E0,2022-02-04,15:00:00,Burnley,Man City,C Pawson,15.0,6.5,1.2,2,5,15,15:00:00,15,5,-2,3,0.214,0.74,2,0.0,0.0
E0,2022-02-04,15:00:00,Chelsea,Brentford,A Madley,1.33,5.0,10.0,2,6,3,15:00:00,15,1,2,-3,0.525,0.415,1,0.0,1.0
E0,2022-02-04,15:00:00,Leeds,Southampton,A Taylor,2.37,3.75,2.75,0,11,21,15:00:00,15,3,-3,0,0.276,0.197,1,0.0,0.0
E0,2022-02-04,15:00:00,Wolves,Aston Villa,D England,3.0,3.1,2.55,1,26,1,15:00:00,15,8,-1,1,0.362,0.503,2,0.0,1.0
E0,2022-02-04,17:30:00,Man United,Leicester,A Marriner,1.5,4.5,6.0,0,16,12,17:30:00,17,2,3,-3,0.496,0.299,1,0.0,0.0
E0,2022-03-04,14:00:00,West Ham,Everton,M Oliver,1.75,3.8,4.5,1,25,8,14:00:00,14,22,2,-4,0.39,0.344,1,0.0,1.0
E0,2022-03-04,16:30:00,Tottenham,Newcastle,M Atkinson,1.5,4.33,6.5,1,23,17,16:30:00,16,19,1,0,0.506,0.507,1,0.0,1.0
E0,2022-04-04,20:00:00,Crystal Palace,Arsenal,P Tierney,4.0,3.4,1.95,1,7,0,20:00:00,20,26,-3,5,0.397,0.684,2,0.5,0.5
E0,2022-06-04,19:30:00,Burnley,Everton,M Dean,2.62,3.1,2.87,1,5,8,19:30:00,19,20,-3,-5,0.214,0.344,1,0.0,0.0
E0,2022-08-04,20:00:00,Newcastle,Wolves,P Bankes,2.25,3.1,3.4,1,17,26,20:00:00,20,25,3,1,0.507,0.362,1,0.0,0.0
E0,2022-09-04,12:30:00,Everton,Man United,J Moss,4.6,3.75,1.75,1,8,16,12:30:00,12,14,-1,1,0.344,0.496,2,0.5,0.5
E0,2022-09-04,15:00:00,Arsenal,Brighton,D Coote,1.61,3.8,5.75,2,0,4,15:00:00,15,7,2,0,0.684,0.46,1,0.5,0.5
E0,2022-09-04,15:00:00,Southampton,Chelsea,K Friend,3.8,3.6,1.95,2,21,6,15:00:00,15,16,0,2,0.197,0.525,2,0.0,0.0
E0,2022-09-04,15:00:00,Watford,Leeds,A Marriner,2.7,3.4,2.55,2,24,11,15:00:00,15,2,-5,-2,0.194,0.276,2,0.0,0.0
E0,2022-09-04,17:30:00,Aston Villa,Tottenham,G Scott,3.2,3.4,2.25,2,1,23,17:30:00,17,10,-1,1,0.503,0.506,2,0.0,0.0
E0,2022-10-04,14:00:00,Brentford,West Ham,M Atkinson,2.62,3.3,2.62,1,3,25,14:00:00,14,19,-2,-2,0.415,0.39,1,0.0,1.0
E0,2022-10-04,14:00:00,Leicester,Crystal Palace,R Jones,2.37,3.3,2.9,1,12,7,14:00:00,14,27,1,2,0.299,0.397,1,0.5,0.5
E0,2022-10-04,14:00:00,Norwich,Burnley,M Oliver,2.87,3.2,2.55,1,18,5,14:00:00,14,22,-2,-1,0.166,0.214,2,0.5,0.5
E0,2022-10-04,16:30:00,Man City,Liverpool,A Taylor,2.0,3.75,3.5,0,15,13,16:30:00,16,3,3,4,0.74,0.711,1,0.5,0.5
E0,2022-04-16,12:30:00,Tottenham,Brighton,C Pawson,1.53,4.0,6.5,2,23,4,12:30:00,12,5,1,0,0.506,0.46,1,0.0,1.0
E0,2022-04-16,15:00:00,Man United,Norwich,A Madley,1.25,6.5,10.0,1,16,18,15:00:00,15,1,2,-2,0.496,0.166,1,0.0,1.0
E0,2022-04-16,15:00:00,Southampton,Arsenal,P Bankes,3.8,3.6,1.95,1,21,0,15:00:00,15,25,-1,3,0.197,0.684,2,0.0,0.0
E0,2022-04-16,15:00:00,Watford,Brentford,S Hooper,2.7,3.3,2.55,2,24,3,15:00:00,15,33,-5,-1,0.194,0.415,2,0.0,0.0
E0,2022-04-17,14:15:00,Newcastle,Leicester,J Gillett,2.2,3.4,3.3,1,17,12,14:15:00,14,12,4,-2,0.507,0.299,1,0.0,0.0
E0,2022-04-17,14:15:00,West Ham,Burnley,P Tierney,1.7,3.8,5.0,0,25,5,14:15:00,14,26,4,-1,0.39,0.214,1,0.5,0.5
E0,2022-04-19,20:00:00,Liverpool,Man United,M Atkinson,1.4,5.0,7.0,1,13,16,20:00:00,20,19,5,0,0.711,0.496,1,0.0,1.0
E0,2022-04-20,19:45:00,Chelsea,Arsenal,J Moss,1.83,3.6,4.33,2,6,0,19:45:00,19,14,1,1,0.525,0.684,1,0.0,1.0
E0,2022-04-20,19:45:00,Everton,Leicester,D Coote,2.25,3.4,3.25,0,8,12,19:45:00,19,7,1,-2,0.344,0.299,1,0.0,0.0
E0,2022-04-20,19:45:00,Newcastle,Crystal Palace,T Harrington,2.25,3.4,3.25,1,17,7,19:45:00,19,36,5,1,0.507,0.397,1,0.5,0.5
E0,2022-04-20,20:00:00,Man City,Brighton,M Dean,1.16,7.0,17.0,1,15,4,20:00:00,20,20,2,1,0.74,0.46,1,0.0,1.0
E0,2022-04-21,19:45:00,Burnley,Southampton,S Attwell,2.75,3.25,2.62,1,5,21,19:45:00,19,31,-1,-1,0.214,0.197,2,0.5,0.5
E0,2022-04-23,12:30:00,Arsenal,Man United,C Pawson,2.05,3.5,3.5,1,0,16,12:30:00,12,5,1,-2,0.684,0.496,1,0.0,0.0
E0,2022-04-23,15:00:00,Leicester,Aston Villa,A Madley,2.8,3.4,2.5,0,12,1,15:00:00,15,1,3,-1,0.299,0.503,2,0.0,0.0
E0,2022-04-23,15:00:00,Man City,Watford,K Friend,1.1,10.0,26.0,1,15,24,15:00:00,15,16,2,0,0.74,0.194,1,0.0,1.0
E0,2022-04-23,15:00:00,Norwich,Newcastle,C Kavanagh,3.5,3.3,2.15,2,18,17,15:00:00,15,4,-2,-1,0.166,0.507,2,0.5,0.5
E0,2022-04-23,17:30:00,Brentford,Tottenham,M Atkinson,4.33,3.5,1.85,0,3,23,17:30:00,17,19,0,1,0.415,0.506,2,0.0,0.0
E0,2022-04-24,14:00:00,Brighton,Southampton,R Jones,2.1,3.4,3.6,0,4,21,14:00:00,14,27,-4,-1,0.46,0.197,1,0.5,0.5
E0,2022-04-24,14:00:00,Burnley,Wolves,A Taylor,2.7,3.0,2.87,1,5,26,14:00:00,14,3,-1,-1,0.214,0.362,1,0.5,0.5
E0,2022-04-24,14:00:00,Chelsea,West Ham,M Oliver,1.5,4.33,6.5,1,6,25,14:00:00,14,22,0,-4,0.525,0.39,1,0.0,0.0
E0,2022-04-24,16:30:00,Liverpool,Everton,S Attwell,1.18,7.0,15.0,1,13,8,16:30:00,16,31,5,-5,0.711,0.344,1,0.0,1.0
E0,2022-04-25,20:00:00,Crystal Palace,Leeds,D England,2.05,3.5,3.5,0,7,11,20:00:00,20,8,-1,-1,0.397,0.276,1,0.0,0.0
E0,2022-04-28,19:45:00,Man United,Chelsea,M Dean,3.2,3.4,2.25,0,16,6,19:45:00,19,20,3,4,0.496,0.525,2,0.5,0.5
E0,2022-04-30,12:30:00,Newcastle,Liverpool,A Marriner,8.5,5.0,1.36,2,17,13,12:30:00,12,2,5,4,0.507,0.711,2,0.0,0.0
E0,2022-04-30,15:00:00,Aston Villa,Norwich,J Brooks,1.4,4.5,9.0,1,1,18,15:00:00,15,11,-2,-4,0.503,0.166,1,0.0,1.0
E0,2022-04-30,15:00:00,Southampton,Crystal Palace,J Gillett,2.4,3.3,3.1,2,21,7,15:00:00,15,12,-1,0,0.197,0.397,1,0.5,0.5
E0,2022-04-30,15:00:00,Watford,Burnley,C Pawson,2.6,3.3,2.75,2,24,5,15:00:00,15,5,-5,-1,0.194,0.214,1,0.5,0.5
E0,2022-04-30,15:00:00,Wolves,Brighton,S Hooper,2.7,3.2,2.75,2,26,4,15:00:00,15,33,1,-1,0.362,0.46,1,0.0,1.0
E0,2022-04-30,17:30:00,Leeds,Man City,P Tierney,8.5,6.0,1.3,2,11,15,17:30:00,17,26,-2,3,0.276,0.74,2,0.0,0.0
E0,2022-01-05,14:00:00,Everton,Chelsea,K Friend,5.0,3.6,1.75,1,8,6,14:00:00,14,16,0,4,0.344,0.525,2,0.5,0.5
E0,2022-01-05,14:00:00,Tottenham,Leicester,J Moss,1.44,4.75,7.0,1,23,12,14:00:00,14,14,1,-1,0.506,0.299,1,0.0,1.0
E0,2022-01-05,16:30:00,West Ham,Arsenal,M Dean,4.33,3.8,1.8,2,25,0,16:30:00,16,20,3,1,0.39,0.684,2,0.0,0.0
E0,2022-02-05,20:00:00,Man United,Brentford,C Kavanagh,1.72,4.0,4.5,1,16,3,20:00:00,20,4,2,1,0.496,0.415,1,0.0,1.0
E0,2022-07-05,15:00:00,Brentford,Southampton,M Salisbury,2.15,3.5,3.3,1,3,21,15:00:00,15,23,1,-2,0.415,0.197,1,0.0,0.0
E0,2022-07-05,15:00:00,Burnley,Aston Villa,D Coote,3.0,3.3,2.4,2,5,1,15:00:00,15,7,1,0,0.214,0.503,2,0.0,0.0
E0,2022-07-05,15:00:00,Chelsea,Wolves,P Bankes,1.33,5.0,9.5,0,6,26,15:00:00,15,25,1,-3,0.525,0.362,1,0.5,0.5
E0,2022-07-05,15:00:00,Crystal Palace,Watford,G Scott,1.65,4.0,5.0,1,7,24,15:00:00,15,10,0,-2,0.397,0.194,1,0.0,1.0
E0,2022-07-05,17:30:00,Brighton,Man United,A Madley,2.8,3.5,2.45,1,4,16,17:30:00,17,1,-3,-3,0.46,0.496,2,0.0,0.0
E0,2022-07-05,19:45:00,Liverpool,Tottenham,M Oliver,1.4,5.0,7.0,0,13,23,19:45:00,19,22,5,2,0.711,0.506,1,0.5,0.5
E0,2022-08-05,14:00:00,Arsenal,Leeds,C Kavanagh,1.45,4.5,7.0,1,0,11,14:00:00,14,4,1,0,0.684,0.276,1,0.0,1.0
E0,2022-08-05,14:00:00,Leicester,Everton,C Pawson,2.6,3.3,2.75,2,12,8,14:00:00,14,5,3,-5,0.299,0.344,1,0.5,0.5
E0,2022-08-05,14:00:00,Norwich,West Ham,R Jones,4.5,3.8,1.75,2,18,25,14:00:00,14,27,-3,-4,0.166,0.39,2,0.0,0.0
E0,2022-08-05,16:30:00,Man City,Newcastle,S Attwell,1.16,7.0,17.0,1,15,17,16:30:00,16,31,2,-1,0.74,0.507,1,0.0,1.0
E0,2022-10-05,20:00:00,Aston Villa,Liverpool,J Moss,7.5,4.75,1.4,2,1,13,20:00:00,20,14,-1,4,0.503,0.711,2,0.0,0.0
E0,2022-11-05,19:30:00,Leeds,Chelsea,A Taylor,4.75,4.2,1.65,2,11,6,19:30:00,19,3,-2,2,0.276,0.525,2,0.0,0.0
E0,2022-11-05,19:45:00,Leicester,Norwich,S Hooper,1.44,4.75,7.0,1,12,18,19:45:00,19,33,2,-4,0.299,0.166,1,0.0,1.0
E0,2022-11-05,19:45:00,Watford,Everton,M Dean,4.2,3.6,1.83,0,24,8,19:45:00,19,20,-5,-3,0.194,0.344,2,0.0,1.0
E0,2022-11-05,20:15:00,Wolves,Man City,M Atkinson,11.0,6.0,1.25,2,26,15,20:15:00,20,19,-1,4,0.362,0.74,2,0.0,0.0
E0,2022-12-05,19:45:00,Tottenham,Arsenal,P Tierney,2.05,3.75,3.5,1,23,0,19:45:00,19,26,3,1,0.506,0.684,1,0.0,0.0
E0,2022-05-15,12:00:00,Tottenham,Burnley,K Friend,1.33,5.25,9.0,1,23,5,12:00:00,12,16,3,-1,0.506,0.214,1,0.0,0.0
E0,2022-05-15,14:00:00,Aston Villa,Crystal Palace,C Kavanagh,2.0,3.5,3.75,0,1,7,14:00:00,14,4,-1,1,0.503,0.397,1,0.0,1.0
E0,2022-05-15,14:00:00,Leeds,Brighton,M Dean,2.62,3.5,2.62,0,11,4,14:00:00,14,20,-2,1,0.276,0.46,1,0.5,0.5
E0,2022-05-15,14:00:00,Watford,Leicester,J Gillett,3.8,3.5,1.95,2,24,12,14:00:00,14,12,-4,-3,0.194,0.299,2,0.0,0.0
E0,2022-05-15,14:00:00,West Ham,Man City,A Taylor,7.5,5.0,1.4,0,25,15,14:00:00,14,3,2,4,0.39,0.74,2,0.0,0.0
E0,2022-05-15,14:00:00,Wolves,Norwich,T Harrington,1.45,4.75,6.5,0,26,18,14:00:00,14,36,-1,-4,0.362,0.166,1,0.5,0.5
E0,2022-05-15,16:30:00,Everton,Brentford,M Oliver,2.05,3.6,3.5,2,8,3,16:30:00,16,22,2,1,0.344,0.415,1,0.0,0.0
E0,2022-05-16,20:00:00,Newcastle,Arsenal,D England,4.33,3.6,1.83,1,17,0,20:00:00,20,8,3,-1,0.507,0.684,2,0.0,0.0
E0,2022-05-17,19:45:00,Southampton,Liverpool,M Atkinson,7.5,5.5,1.33,2,21,13,19:45:00,19,19,-3,4,0.197,0.711,2,0.0,0.0
E0,2022-05-19,19:45:00,Everton,Crystal Palace,A Taylor,1.9,3.4,4.33,1,8,7,19:45:00,19,3,2,0,0.344,0.397,1,0.0,0.0
E0,2022-05-19,20:00:00,Aston Villa,Burnley,P Tierney,2.05,3.5,3.6,0,1,5,20:00:00,20,26,-2,-2,0.503,0.214,1,0.0,1.0
E0,2022-05-19,20:00:00,Chelsea,Leicester,S Attwell,1.4,4.75,8.0,0,6,12,20:00:00,20,31,0,-1,0.525,0.299,1,0.0,1.0
E0,2022-05-22,16:00:00,Arsenal,Everton,A Marriner,1.36,4.75,9.0,1,0,8,16:00:00,16,2,1,-2,0.684,0.344,1,0.0,0.0
E0,2022-05-22,16:00:00,Brentford,Leeds,P Tierney,2.45,3.8,2.62,2,3,11,16:00:00,16,26,2,0,0.415,0.276,1,0.5,0.5
E0,2022-05-22,16:00:00,Brighton,West Ham,K Friend,2.37,3.5,2.9,1,4,25,16:00:00,16,16,-1,-3,0.46,0.39,1,0.5,0.5
E0,2022-05-22,16:00:00,Burnley,Newcastle,C Pawson,2.25,3.4,3.2,2,5,17,16:00:00,16,5,1,-3,0.214,0.507,1,0.0,0.0
E0,2022-05-22,16:00:00,Chelsea,Watford,M Dean,1.18,7.5,15.0,1,6,24,16:00:00,16,20,-1,-3,0.525,0.194,1,0.0,1.0
E0,2022-05-22,16:00:00,Crystal Palace,Man United,M Atkinson,3.0,3.6,2.25,1,7,16,16:00:00,16,19,2,-5,0.397,0.496,2,0.0,0.0
E0,2022-05-22,16:00:00,Leicester,Southampton,J Moss,1.85,4.0,3.8,1,12,21,16:00:00,16,14,2,-3,0.299,0.197,1,0.5,0.5
E0,2022-05-22,16:00:00,Liverpool,Wolves,A Taylor,1.14,8.5,15.0,1,13,26,16:00:00,16,3,4,-2,0.711,0.362,1,0.0,1.0
E0,2022-05-22,16:00:00,Man City,Aston Villa,M Oliver,1.16,8.0,17.0,1,15,1,16:00:00,16,22,4,0,0.74,0.503,1,0.0,1.0
E0,2022-05-22,16:00:00,Norwich,Tottenham,C Kavanagh,9.5,6.5,1.25,2,18,23,16:00:00,16,4,-3,1,0.166,0.506,2,0.0,0.0
E0,2022-05-08,20:00:00,Crystal Palace,Arsenal,A Taylor,4.2,3.6,1.85,2,7,0,20:00:00,20,3,3,-1,0.397,0.684,2,1.5,0.5
E0,2022-06-08,12:30:00,Fulham,Liverpool,A Madley,11.0,6.0,1.25,0,9,13,12:30:00,12,1,0,4,0.425,0.711,2,0.0,0.0
E0,2022-06-08,15:00:00,Bournemouth,Aston Villa,P Bankes,3.75,3.5,2.0,1,2,1,15:00:00,15,25,0,-2,0.401,0.503,2,0.0,0.0
E0,2022-06-08,15:00:00,Leeds,Wolves,R Jones,2.25,3.4,3.2,1,11,26,15:00:00,15,27,-1,-2,0.276,0.362,1,0.5,1.5
